galaxy,environment,branch,branch_label,mu_sbf_mag,sigma_mu_internal_mag,sigma_mu_absolute_mag,distance_sbf_mpc,sigma_distance_internal_mpc,sigma_distance_absolute_mpc,mu_trgb_mag,sigma_mu_trgb_mag,distance_trgb_mpc,sigma_distance_trgb_mpc,delta_distance_sbf_minus_trgb_mpc,zero_point_loo_mag,intrinsic_scatter_loo_mag,calibration_sigma_loo_mag,target_sbf_sigma_mag
NGC 4552,Virgo,no_winsor,Без винзорирования,31.0677600241823,0.07955853736372104,0.09240433359672368,16.351289388396488,0.5990795287339418,0.6958089786268794,30.923,0.028,15.296779272301395,0.1972439611700404,1.0545101160950932,-3.22795249419151,0.07484499911767051,0.02290441785230789,0.014253933400201403
NGC 4552,Virgo,normalized_full_3p5,"После нормировки, вся область, 3.5 sigma",31.068722171003277,0.07911945130623023,0.09202655907399197,16.3585360045321,0.5960372267129654,0.6932714288184126,30.923,0.028,15.296779272301395,0.1972439611700404,1.061756732230707,-3.2183121164473723,0.07444988922423816,0.022584848131823,0.014388405205584605
NGC 4552,Virgo,normalized_union_3p5,"После нормировки, два кольца, 3.5 sigma",31.06914534769132,0.07959647621057789,0.09243700030367218,16.361724267774473,0.5997477060894678,0.6964991608830963,30.923,0.028,15.296779272301395,0.1972439611700404,1.0649449954730787,-3.2192133024844414,0.07468485425146794,0.023472128326675487,0.014381611953955712
NGC 4552,Virgo,raw_global_3p5,"До нормировки, 3.5 sigma",31.05742422467988,0.08441296075885346,0.09661546431123609,16.27364526424468,0.6326152582340245,0.7240643658887693,30.923,0.028,15.296779272301395,0.1972439611700404,0.9768659919432867,-3.1818883815574446,0.07958026323913792,0.024191817590165587,0.014397416731810024
NGC 4621,Virgo,no_winsor,Без винзорирования,30.899929202744627,0.08592346161362747,0.09793794594368678,15.135119020871798,0.5988847993225326,0.6826255134632918,30.821,0.026,14.59486223782621,0.1747507435602258,0.5402567830455887,-3.2233566959726687,0.08158001201629853,0.02345284096075921,0.01332318077481638
NGC 4621,Virgo,normalized_full_3p5,"После нормировки, вся область, 3.5 sigma",30.901532433400185,0.0858382258051129,0.09786317494016607,15.146297632456786,0.5987325975630996,0.6826081549114166,30.821,0.026,14.59486223782621,0.1747507435602258,0.5514353946305768,-3.2137739336987288,0.0812228559425953,0.02427897649202915,0.013475161683536676
NGC 4621,Virgo,normalized_union_3p5,"После нормировки, два кольца, 3.5 sigma",30.9016987340249,0.08605920112291224,0.09805705531941013,15.147457644990926,0.600319901951445,0.6840128779596983,30.821,0.026,14.59486223782621,0.1747507435602258,0.5525954071647163,-3.214656683688088,0.08147949959412441,0.0242065588681752,0.013465502276800023
NGC 4621,Virgo,raw_global_3p5,"До нормировки, 3.5 sigma",30.895085561500306,0.08947294478552743,0.10106635369198812,15.101396563104968,0.6222351317721994,0.7028609157551964,30.821,0.026,14.59486223782621,0.1747507435602258,0.5065343252787589,-3.1776180927643574,0.08505220862355271,0.02426644291246323,0.013515524600468483
NGC 4636,Virgo,no_winsor,Без винзорирования,31.10285614545618,0.08946252185245172,0.10105712649882936,16.617712042469133,0.6846333484238606,0.7733638339761504,31.07,0.026,16.368165214278086,0.19598328475471413,0.2495468281910469,-3.2199372262937884,0.08380452145203131,0.025146533756783083,0.018654673420228904
NGC 4636,Virgo,normalized_full_3p5,"После нормировки, вся область, 3.5 sigma",31.100577001769576,0.0896002904429841,0.10117910875011257,16.600279500286163,0.6849683459674731,0.773485068233441,31.07,0.026,16.368165214278086,0.19598328475471413,0.23211428600807693,-3.2100777719375304,0.08362952538711091,0.02617809328236411,0.018682129511742595
NGC 4636,Virgo,normalized_union_3p5,"После нормировки, два кольца, 3.5 sigma",31.09997871045754,0.0888921398171394,0.1005525361254994,16.595706366009708,0.6793675315359697,0.7684833371970489,31.07,0.026,16.368165214278086,0.19598328475471413,0.22754115173162148,-3.2109062948118634,0.08390465901373928,0.022656916892053618,0.018667748498535537
NGC 4636,Virgo,raw_global_3p5,"До нормировки, 3.5 sigma",31.099992438374056,0.092816839279136,0.10403828936391142,16.595811283387743,0.7093669446807394,0.7951285998216281,31.07,0.026,16.368165214278086,0.19598328475471413,0.22764606910965668,-3.174341616242093,0.08694876697445403,0.026551047949219485,0.018706133437707086
NGC 4649,Virgo,no_winsor,Без винзорирования,31.089125815608686,0.08707851686189755,0.0989528579621012,16.512968905989222,0.6621888608939316,0.7524873258928277,31.009,0.025,15.914756566438562,0.1832254061425527,0.5982123395506598,-3.2233827733500418,0.08151572721424802,0.02533995575651686,0.01719712062694937
NGC 4649,Virgo,normalized_full_3p5,"После нормировки, вся область, 3.5 sigma",31.086060747907737,0.0869306576707928,0.09882276682564888,16.48967703111451,0.6601320204722673,0.7504380443125708,31.009,0.025,15.914756566438562,0.1832254061425527,0.574920464675948,-3.213465961315897,0.08148769372130153,0.024927001680697287,0.01718544739802942
NGC 4649,Virgo,normalized_union_3p5,"После нормировки, два кольца, 3.5 sigma",31.08544936662969,0.08705671085413721,0.09893366921701051,16.485034991602934,0.6609031357686083,0.7510687180471296,31.009,0.025,15.914756566438562,0.1832254061425527,0.5702784251643713,-3.214292635942709,0.08179677788436215,0.024344263008390623,0.017190546560696598
NGC 4649,Virgo,raw_global_3p5,"До нормировки, 3.5 sigma",31.142454226730926,0.0852985054264649,0.09739011771216144,16.92352570335432,0.6647800095070368,0.7590168556282207,31.009,0.025,15.914756566438562,0.1832254061425527,1.008769136915756,-3.1818782040033713,0.079619637364972,0.02543703606266899,0.017014863214422072
NGC 4697,Virgo,no_winsor,Без винзорирования,30.298847415437223,0.08939074190027199,0.10099358760575368,11.475443607065152,0.47239762898889665,0.5337144576030787,30.324,0.028,11.609138701261834,0.14969376640974424,-0.1336950941966819,-3.215769991603018,0.0839359151111668,0.025660991546997965,0.016940496000912828
NGC 4697,Virgo,normalized_full_3p5,"После нормировки, вся область, 3.5 sigma",30.301114735363274,0.08922418758220067,0.10084619799329934,11.487431827609468,0.4720100369374254,0.5334923066232764,30.324,0.028,11.609138701261834,0.14969376640974424,-0.1217068736523661,-3.2062370944544543,0.08374502154127361,0.025603788976377193,0.017093068969863134
NGC 4697,Virgo,normalized_union_3p5,"После нормировки, два кольца, 3.5 sigma",30.302712962078953,0.08917796360454996,0.10080530339547834,11.495889811427118,0.4721128570239327,0.5336686089877865,30.324,0.028,11.609138701261834,0.14969376640974424,-0.11324888983471659,-3.2072235572600922,0.08403526876656947,0.024460779027028295,0.017101259759905518
NGC 4697,Virgo,raw_global_3p5,"До нормировки, 3.5 sigma",30.27781541714461,0.09194080918347017,0.10325750526383674,11.364833655278241,0.4811905497498761,0.5404187342375419,30.324,0.028,11.609138701261834,0.14969376640974424,-0.2443050459835927,-3.1688678347398906,0.08640592189485703,0.026419469667738716,0.01700413706386099
