galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 4374,raw_global_3p5,0.03,27.954639815110745,0.0219019166994715,0.0219019166994715,"max(fit covariance + PSF MAD, k-window MAD)",27.998677393828544,0.0167619865202193,0.0167619865202193,"max(fit covariance + PSF MAD, k-window MAD)",27.982411239614628,0.0133110663832671,0.0440375787177984,0.0220187893588992,0.0220187893588992
NGC 4374,raw_global_3p5,0.04,27.958589602150308,0.0219170853367446,0.0219170853367446,"max(fit covariance + PSF MAD, k-window MAD)",28.00142777357383,0.016916514657395,0.016916514657395,"max(fit covariance + PSF MAD, k-window MAD)",27.985434948362855,0.0133915217741769,0.0428381714235222,0.0214190857117611,0.0214190857117611
NGC 4374,normalized_full_3p5,0.01,27.901204484048204,0.0213155325783943,0.0213155325783943,"max(fit covariance + PSF MAD, k-window MAD)",27.997616547578225,0.0161992358673352,0.0161992358673352,"max(fit covariance + PSF MAD, k-window MAD)",27.96231917899758,0.0128973849952411,0.0964120635300211,0.0482060317650105,0.0482060317650105
NGC 4374,normalized_full_3p5,0.03,27.90510261944564,0.0217475249143851,0.0217475249143851,"max(fit covariance + PSF MAD, k-window MAD)",28.00016173613719,0.0168225869800017,0.0168225869800017,"max(fit covariance + PSF MAD, k-window MAD)",27.964575356019168,0.0133062248072544,0.095059116691555,0.0475295583457775,0.0475295583457775
NGC 4374,normalized_full_3p5,0.04,27.909048356071654,0.0217525625668524,0.0217525625668524,"max(fit covariance + PSF MAD, k-window MAD)",28.00291988400102,0.016977290643592,0.016977290643592,"max(fit covariance + PSF MAD, k-window MAD)",27.967384875266827,0.0133835614197055,0.093871527929366,0.046935763964683,0.046935763964683
NGC 4374,normalized_union_3p5,0.01,27.90139957016003,0.0213171001027211,0.0213171001027211,"max(fit covariance + PSF MAD, k-window MAD)",27.997730379907768,0.0162019235448086,0.0162019235448086,"max(fit covariance + PSF MAD, k-window MAD)",27.962458629271634,0.0128990886313631,0.0963308097477337,0.0481654048738668,0.0481654048738668
NGC 4374,normalized_union_3p5,0.03,27.90529826403645,0.0217489797923274,0.0217489797923274,"max(fit covariance + PSF MAD, k-window MAD)",28.000276044492843,0.0168253626508361,0.0168253626508361,"max(fit covariance + PSF MAD, k-window MAD)",27.964715749424972,0.0133079315864326,0.0949777804563929,0.0474888902281964,0.0474888902281964
NGC 4374,normalized_union_3p5,0.04,27.9092443975134,0.021753935272562,0.021753935272562,"max(fit covariance + PSF MAD, k-window MAD)",28.003034287233135,0.016980168819302,0.016980168819302,"max(fit covariance + PSF MAD, k-window MAD)",27.967525486665046,0.013385291106314,0.0937898897197335,0.0468949448598667,0.0468949448598667
NGC 4406,no_winsor,0.01,27.789636848120633,0.0212481507456081,0.0212481507456081,"max(fit covariance + PSF MAD, k-window MAD)",27.8951276889303,0.0171660956027625,0.0171660956027625,"max(fit covariance + PSF MAD, k-window MAD)",27.853466988013217,0.0133529446286109,0.1054908408096686,0.0527454204048343,0.0527454204048343
NGC 4406,no_winsor,0.03,27.79532634370283,0.0202228066434465,0.0202228066434465,"max(fit covariance + PSF MAD, k-window MAD)",27.89937571908488,0.0169672419570189,0.0169672419570189,"max(fit covariance + PSF MAD, k-window MAD)",27.856390101313213,0.0129982018550254,0.1040493753820506,0.0520246876910253,0.0520246876910253
NGC 4406,no_winsor,0.04,27.798667994310048,0.0202514969977214,0.0202514969977214,"max(fit covariance + PSF MAD, k-window MAD)",27.902163086241835,0.0172526586035204,0.0172526586035204,"max(fit covariance + PSF MAD, k-window MAD)",27.85863845046808,0.0131330267049349,0.1034950919317871,0.0517475459658935,0.0517475459658935
NGC 4406,raw_global_3p5,0.01,27.833585056780013,0.0213778556695539,0.0213778556695539,"max(fit covariance + PSF MAD, k-window MAD)",27.89722819729679,0.0172261432811133,0.0172261432811133,"max(fit covariance + PSF MAD, k-window MAD)",27.872172942878795,0.0134133651701423,0.0636431405167776,0.0318215702583888,0.0318215702583888
NGC 4406,raw_global_3p5,0.03,27.83926611786953,0.0203950389015664,0.0203950389015664,"max(fit covariance + PSF MAD, k-window MAD)",27.901475380288975,0.0170345302393467,0.0170345302393467,"max(fit covariance + PSF MAD, k-window MAD)",27.87591137078089,0.0130740908092761,0.0622092624194436,0.0311046312097218,0.0311046312097218
NGC 4406,raw_global_3p5,0.04,27.842689715369733,0.0203912406690336,0.0203912406690336,"max(fit covariance + PSF MAD, k-window MAD)",27.904266226112085,0.0173208230122698,0.0173208230122698,"max(fit covariance + PSF MAD, k-window MAD)",27.87845835537498,0.0132011631969083,0.061576510742352,0.030788255371176,0.030788255371176
NGC 4406,normalized_full_3p5,0.01,27.799589538594898,0.0213649913068903,0.0213649913068903,"max(fit covariance + PSF MAD, k-window MAD)",27.898154939417736,0.0172836231355491,0.0172836231355491,"max(fit covariance + PSF MAD, k-window MAD)",27.859166140108066,0.0134372502310721,0.0985654008228422,0.0492827004114211,0.0492827004114211
NGC 4406,normalized_full_3p5,0.03,27.80528419002865,0.0203570715351951,0.0203570715351951,"max(fit covariance + PSF MAD, k-window MAD)",27.902414990161997,0.0170903219746804,0.0170903219746804,"max(fit covariance + PSF MAD, k-window MAD)",27.862258868198616,0.0130891878908892,0.0971308001333461,0.048565400066673,0.048565400066673
NGC 4406,normalized_full_3p5,0.04,27.80868590109187,0.0203658320615561,0.0203658320615561,"max(fit covariance + PSF MAD, k-window MAD)",27.905215372423623,0.017374618554226,0.017374618554226,"max(fit covariance + PSF MAD, k-window MAD)",27.864553561002513,0.0132179941498936,0.0965294713317561,0.048264735665878,0.048264735665878
NGC 4406,normalized_union_3p5,0.01,27.800030568106703,0.0213683766630483,0.0213683766630483,"max(fit covariance + PSF MAD, k-window MAD)",27.898381598114405,0.0172908213737804,0.0172908213737804,"max(fit covariance + PSF MAD, k-window MAD)",27.859465463862467,0.0134414747527925,0.0983510300077021,0.049175515003851,0.049175515003851
