galaxy,ring,requested_kmin,production_P0,recreated_P0,relative_P0_difference,production_P1,recreated_P1,relative_P1_difference,production_mbar,recreated_mbar,delta_mbar,passed
NGC 1399,outer,0.03,0.8513195093786021,0.8513195168391369,8.763495484842565e-09,-0.0511859245755912,-0.0511859228715061,3.3292064223631546e-08,28.17817561516889,28.178175605619828,-9.54906198558092e-09,True
NGC 1399,outer,0.04,0.8504495705574159,0.8504495780299353,8.786551930484165e-09,-0.0510831753593093,-0.051083173661338,3.3239344901051184e-08,28.179289658636,28.179289649061783,-9.574218751140506e-09,True
NGC 1404,inner,0.01,0.8420923601697077,0.8420923554850177,-5.563154603649423e-09,-0.0724097144273119,-0.0724097178875753,-4.778728153405559e-08,28.1861847603675,28.18618476640762,6.040121292016921e-09,True
NGC 1404,inner,0.03,0.8386980993865961,0.838698094781939,-5.490243926153937e-09,-0.0718071740537782,-0.0718071774866977,-4.78074725743896e-08,28.19056993208382,28.190569938044774,5.9609561731122085e-09,True
NGC 1404,inner,0.04,0.8344157448398619,0.8344157402966504,-5.444781625563166e-09,-0.0710388352348825,-0.071038838649306,-4.806418222381658e-08,28.19612785422319,28.196127860134784,5.911594769258954e-09,True
NGC 1404,outer,0.01,0.8230397114514199,0.8230396871298032,-2.9550963676072683e-08,-0.0680489424669053,-0.0680489427878374,-4.716195878119627e-09,28.217288040723357,28.217288072993316,3.2269959149289213e-08,True
NGC 1404,outer,0.03,0.8208475699799096,0.8208475456087558,-2.969023071841548e-08,-0.067665951906167,-0.0676659522112833,-4.509155618514942e-09,28.220200480185188,28.22020051260773,3.242254109636633e-08,True
NGC 1404,outer,0.04,0.8192949143382869,0.8192948899249459,-2.97979891872302e-08,-0.067382060273688,-0.0673820605674558,-4.3597333538889574e-09,28.222268046938773,28.222268079479345,3.254057290291712e-08,True
NGC 1549,inner,0.01,0.9795181078628924,0.9795181025521416,-5.4217994538419134e-09,-0.0823780252404384,-0.0823780261098881,-1.0554389638820534e-08,28.02202145885617,28.02202146474308,5.886910514618648e-09,True
NGC 1549,inner,0.03,0.9767559201037816,0.9767559149154188,-5.311831419163582e-09,-0.0818797505953079,-0.0818797514740412,-1.0731998370597724e-08,28.0250876406132,28.02508764638071,5.767510913301521e-09,True
NGC 1549,inner,0.04,0.9741081536377372,0.97410814854385,-5.229283006613627e-09,-0.0814086343858415,-0.0814086352713178,-1.0876933851395229e-08,28.028034959231995,28.028034964909875,5.677879499899063e-09,True
NGC 1549,outer,0.01,1.0200827139465154,1.0200826937656318,-1.978357577758771e-08,-0.0770597389020103,-0.0770597419387637,-3.9407783064846716e-08,27.978689346319147,27.97868936781422,2.149507238868864e-08,True
NGC 1549,outer,0.03,1.018758817163516,1.0187587969115346,-1.9879073498429992e-08,-0.0768234499074548,-0.0768234469877358,3.8005569524875905e-08,27.980100372472695,27.98010039407155,2.159885426067376e-08,True
NGC 1549,outer,0.04,1.017251180601949,1.0172511602971257,-1.9960481711933653e-08,-0.0765600992541191,-0.0765600963565169,3.784741922125677e-08,27.981709467203245,27.981709488890573,2.1687327489416933e-08,True
NGC 3379,inner,0.01,2.6871463879313584,2.6871463587907063,-1.0844460218706333e-08,-0.2358887072098689,-0.2358886927117897,6.146152267147377e-08,26.926572136229115,26.926572148003704,1.1774588415391918e-08,True
NGC 3379,inner,0.03,2.6811358834878045,2.6811358541809436,-1.0930762961436358e-08,-0.2348362040948775,-0.2348361897961776,6.088797060015178e-08,26.929003464585268,26.929003476453563,1.1868294791383961e-08,True
NGC 3379,inner,0.04,2.6696110057612383,2.669610976474305,-1.0970487296368958e-08,-0.2327755474313108,-0.2327755332867409,6.07648443331554e-08,26.933680713570897,26.93368072548233,1.1911428288158277e-08,True
NGC 3379,outer,0.01,2.306424470330032,2.30642448272515,5.374170219951679e-09,-0.1729730517263796,-0.1729730470613963,2.6969422197470737e-08,27.09970016381036,27.09970015793616,-5.8741989050759e-09,True
NGC 3379,outer,0.03,2.3048014974168076,2.3048015102468815,5.56667201223604e-09,-0.1726162483759383,-0.1726162436699961,2.7262451711527665e-08,27.10046958275471,27.100469576670072,-6.08463679441229e-09,True
NGC 3379,outer,0.04,2.3022467320003397,2.302246745176225,5.723055362949481e-09,-0.1722396266513274,-0.1722396219173301,2.7484948554263772e-08,27.101681851633312,27.101681845377698,-6.255618245631922e-09,True
NGC 4374,inner,0.01,1.0461727801147265,1.0461728026953616,2.1584040110766978e-08,-0.088644575058594,-0.0886445682061744,7.730218734675783e-08,27.950723194729072,27.950723171294168,-2.3434903795305217e-08,True
NGC 4374,inner,0.03,1.0424057076510047,1.0424057303016687,2.1729221089117345e-08,-0.0879569092298582,-0.0879569024112414,7.752224129271018e-08,27.95463983870328,27.954639815110745,-2.3592534148519917e-08,True
NGC 4374,inner,0.04,1.0386204949388056,1.0386205176202703,2.183806802058541e-08,-0.0872805816733227,-0.0872805748866804,7.775661160479676e-08,27.958589625861023,27.958589602150308,-2.3710715169045216e-08,True
NGC 4374,outer,0.01,1.010009191828683,1.0100092166617909,2.4587011537846593e-08,-0.0801424509870665,-0.0801424506146659,4.646732789565923e-09,27.99615052564478,27.996150498770984,-2.6873795633264308e-08,True
NGC 4374,outer,0.03,1.0076768940424004,1.0076769190078958,2.4775298035351057e-08,-0.0797004760421649,-0.0797004756534584,4.877090593890215e-09,27.998677420908557,27.998677393828544,-2.7080012898750283e-08,True
NGC 4374,outer,0.04,1.0051444841266235,1.0051445091602838,2.4905534079522343e-08,-0.0792722214591581,-0.0792722210596321,5.039924129643085e-09,28.00142780079666,28.00142777357383,-2.7222828435924384e-08,True
NGC 4406,inner,0.01,1.1654048238391812,1.1654048465094025,1.9452657706864332e-08,-0.1015984931920657,-0.1015984875560124,5.547378817992537e-08,27.83358507790108,27.833585056780013,-2.1121067561580276e-08,True
NGC 4406,inner,0.03,1.159323002512903,1.1593230251676776,1.9541382734189483e-08,-0.1005078393910532,-0.1005078338228122,5.540106151946482e-08,27.839266139086934,27.83926611786953,-2.1217402945694633e-08,True
NGC 4406,inner,0.04,1.155673231155982,1.1556732538635466,1.9648775939629104e-08,-0.0998154934800646,-0.0998154879735081,5.516735196936249e-08,27.842689736703743,27.842689715369733,-2.1334010114060223e-08,True
NGC 4406,outer,0.01,1.105575831701214,1.1055758518761742,1.824837303487925e-08,-0.0888507898833315,-0.088850787631238,2.5346915732323558e-08,27.89722821722783,27.89722819729679,-1.9931039929588223e-08,True
NGC 4406,outer,0.03,1.1012850691816165,1.101285089409454,1.8367485532522213e-08,-0.0880729842151431,-0.0880729819592901,2.5613449989724088e-08,27.90147540035058,27.901475380288975,-2.006160570999782e-08,True
NGC 4406,outer,0.04,1.0984747115066342,1.0984747318278878,1.8499518805725756e-08,-0.0876036036902296,-0.0876036014272004,2.5832603110789514e-08,27.904266246318212,27.904266226112085,-2.0206126549737743e-08,True
