radius_type,r_in_px,r_out_px,r_mid_px,r_mid_arcsec,n_pix,img_median,img_mean,img_std,model_median,model_mean,model_std,resid_raw_median,resid_raw_mean,resid_raw_std,resid_clip_median,resid_clip_mean,resid_clip_std,science_resid_name,science_model_name
ellipse,752.0458608797395,827.2504469677135,789.6481539237266,24.65795092355801,223687,7.641012660792247,7.69618408369732,0.7322388135998088,7.6767425537109375,7.692313643629978,0.3500115998666592,-0.05585894156567939,0.0038704400673417465,0.6486090179953804,-0.05585893988609314,0.0004301008454499892,0.6253558097071118,resid_full_clip_3p5sigma,model_full
ellipse,827.2504469677135,902.4550330556874,864.8527400117005,27.0063272019921,244743,6.585131793041995,6.664636373721074,1.8035787528988365,6.648722171783447,6.648364688939783,0.2781576384605868,-0.07250756023983751,0.016271684781292303,1.7833476735356937,-0.07250756025314331,-0.013256975749696013,0.6042207807909536,resid_full_clip_3p5sigma,model_full
ellipse,902.4550330556874,977.6596191436613,940.0573260996744,29.354703480426195,266164,5.664762039136698,5.745450813651604,0.8996356056523381,5.754914045333862,5.745872614003574,0.2630633449015357,-0.08302870566300591,-0.00042180035196873254,0.8656765419569072,-0.08302870392799377,-0.02119222185351507,0.5896320396769075,resid_full_clip_3p5sigma,model_full
ellipse,977.6596191436613,1052.8642052316354,1015.2619121876484,31.703079758860294,286254,4.886054874282584,4.952890989088888,0.8777378511881772,4.976742267608643,5.0012903460819835,0.17608988130544098,-0.12060122189285272,-0.04839935699309495,0.8511825732279772,-0.12060122191905975,-0.06237604200361957,0.550233241390015,resid_full_clip_3p5sigma,model_full
ellipse,1052.8642052316354,1128.0687913196093,1090.4664982756224,34.05145603729439,269430,4.176552529556457,4.233843960310318,0.568764419618814,4.433508634567261,4.432210147045894,0.1743233230624941,-0.25931857370718125,-0.19836618673557607,0.5344225963292535,-0.2593185752630234,-0.20074581032242733,0.5091678745214694,resid_full_clip_3p5sigma,model_full
ellipse,1128.0687913196093,1203.2733774075832,1165.6710843635963,36.39983231572848,245558,3.5607637801338,3.619694990067075,0.6594538375214157,3.8570746183395386,3.8594284424199903,0.15340819418871787,-0.3035701735537293,-0.23973345235291574,0.6427256980522408,-0.3035701811313629,-0.24511739839425895,0.47011183104675697,resid_full_clip_3p5sigma,model_full
ellipse,1203.2733774075832,1278.477963495557,1240.8756704515702,38.74820859416258,263763,3.1146229102400476,3.1966334045300777,0.6808197440821365,3.3599050045013428,3.3636630355272525,0.13271041151340224,-0.2543385197784245,-0.1670296309971746,0.6707615085035551,-0.2543385326862335,-0.1776666470353543,0.49518769686347897,resid_full_clip_3p5sigma,model_full
ellipse,1278.477963495557,1353.682549583531,1316.080256539544,41.09658487259667,276667,2.746321028130632,2.819493931778371,0.5852185978609398,2.931459426879883,2.9343790531678944,0.11585128515737775,-0.19051268827392098,-0.11488512138952371,0.5777430146093708,-0.19051268696784973,-0.11935657507391945,0.4782554309730731,resid_full_clip_3p5sigma,model_full
ellipse,1353.682549583531,1428.8871356715051,1391.2848426275182,43.444961151030775,287447,2.4393389221894632,2.5263390210963124,1.5346610367032507,2.556845188140869,2.559386737660665,0.10104923690342625,-0.12162914931156488,-0.033047716564352486,1.532650302024759,-0.12162914872169495,-0.04634504033646023,0.47700053209593846,resid_full_clip_3p5sigma,model_full
ellipse,1428.8871356715051,1504.091721759479,1466.489428715492,45.79333742946487,297843,2.1721882375610515,2.2523971395058595,0.7330253531305105,2.2301032543182373,2.2322808232032085,0.08814514867630646,-0.06148011729752456,0.020116316302651305,0.7301371990492175,-0.061480116099119186,0.014458551534116668,0.4687342462748504,resid_full_clip_3p5sigma,model_full
