galaxy,ring,psf_id,k,E,N
NGC 1380,inner,stpsf_field_1024_768,0.3892075712142845,0.05419102482002837,0.20715055158980256
NGC 1380,inner,stpsf_field_1024_768,0.3981548717019692,0.04942510946740211,0.19952239806375344
NGC 1380,inner,stpsf_field_1024_768,0.40710217218965394,0.04470578356666511,0.18621966771307302
NGC 1380,inner,stpsf_field_1024_768,0.4160494726773386,0.04032755077509148,0.17634463857930915
NGC 1380,inner,stpsf_field_1024_768,0.4249967731650233,0.03636632018708655,0.17154663949523988
NGC 1380,inner,stpsf_field_1024_768,0.43394407365270804,0.03276418875871336,0.16730701255579966
NGC 1380,inner,stpsf_field_1024_768,0.4428913741403927,0.029546875724940753,0.16473628558220388
NGC 1380,inner,stpsf_field_1024_768,0.4518386746280775,0.026731140549651644,0.1545306729759492
NGC 1380,inner,stpsf_field_1024_768,0.46078597511576214,0.024287293134335156,0.15212811578295196
NGC 1380,inner,stpsf_field_1024_768,0.4697332756034468,0.022165639690644823,0.14290478852963268
NGC 1380,inner,stpsf_field_1024_768,0.47868057609113157,0.020248110945544084,0.13630243644044532
NGC 1380,inner,stpsf_field_1024_768,0.48762787657881623,0.01880219644550965,0.13559378376025213
NGC 1380,inner,stpsf_field_1024_768,0.49657517706650095,0.01736689919966734,0.1377432763751965
NGC 1380,inner,stpsf_field_1024_768,0.5055224775541856,0.012999137691982776,0.12367053488955122
NGC 1380,inner,stpsf_field_1024_768,0.5144697780418703,0.009887547263015991,0.11488302695688507
NGC 1380,inner,stpsf_field_1024_768,0.5234170785295551,0.007722040729423396,0.11012162253910056
NGC 1380,inner,stpsf_field_1024_768,0.5323643790172398,0.00600322323695154,0.10610549207903942
NGC 1380,inner,stpsf_field_1024_768,0.5413116795049244,0.004674751287219455,0.10001385159799533
NGC 1380,inner,stpsf_field_1024_768,0.5502589799926092,0.003603389028255791,0.09372425633065118
NGC 1380,inner,stpsf_field_1024_768,0.5592062804802939,0.002750153232798596,0.08904488450769607
NGC 1380,inner,stpsf_field_1024_768,0.5681535809679785,0.0020635265613531913,0.08650476923116848
NGC 1380,inner,stpsf_field_1024_768,0.5771008814556633,0.0015083288128794662,0.08597638654953783
NGC 1380,inner,stpsf_field_1024_768,0.586048181943348,0.0010820191419874294,0.07959950959863697
NGC 1380,inner,stpsf_field_1024_768,0.5949954824310326,0.0007676205777172616,0.07603286396404194
NGC 1380,inner,stpsf_field_1024_768,0.6039427829187174,0.0005508597919032191,0.07479456709559562
NGC 1380,inner,stpsf_field_1024_768,0.612890083406402,0.00040410851183806344,0.07175641497614457
NGC 1380,inner,stpsf_field_1024_768,0.6218373838940867,0.0003136232253007455,0.07071941228342532
NGC 1380,inner,stpsf_field_1024_768,0.6307846843817715,0.0002567248824985467,0.06943498393136066
NGC 1380,inner,stpsf_field_1024_768,0.6397319848694563,0.0002219639620492193,0.07089333106164354
