galaxy,ring,variant,noise_model,psf_id,k,observed,predicted,residual,residual_sigma
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.14765542659504677,0.19212008253216944,0.19559605710249225,-0.0034759745703228095,-3.858666941388624
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.1566042403280799,0.17276372519993718,0.1777863163080344,-0.0050225911080972185,-6.361495600129774
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.16555305406111304,0.15519099410135145,0.16154453490035822,-0.006353540799006768,-9.3541746658629
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.17450186779414617,0.13865055067119897,0.14566163514009434,-0.007011084468895368,-11.818529700622225
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.1834506815271793,0.12672729566596747,0.13135739332694507,-0.004630097660977606,-8.710559440101214
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.19239949526021247,0.11304567908067305,0.11716014751709908,-0.00411446843642603,-8.90603506513099
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.2013483089932456,0.1014888115524081,0.10450930872122727,-0.003020497168819164,-7.403460610466154
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.21029712272627873,0.09008341044901642,0.09234094574373311,-0.0022575352947166866,-6.373880212516126
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.21924593645931187,0.08037856856263406,0.0813018199826652,-0.0009232514200311348,-3.020262547604791
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.228194750192345,0.07092275423384681,0.07121085689372647,-0.0002881026598796632,-1.0707819377025802
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.23714356392537814,0.0645989980515969,0.06229065499332548,0.00230834305827142,9.657434653726286
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.2460923776584113,0.05698950379948295,0.054422128980600115,0.002567374818882834,12.513656536810531
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.04026966179864912,0.5463230342042937,0.29584562184466756,0.2504774123596262,51.09947072686848
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.04921847553168225,0.49794452437749165,0.2859486503504054,0.21199587402708625,52.262470322442475
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.0581672892647154,0.4561697948439523,0.28181650069065745,0.17435329415329487,51.870177449137934
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.06711610299774853,0.4249135933769346,0.2699583823912818,0.1549552109856528,51.64097656045653
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.07606491673078167,0.39577067139538064,0.2579924025386213,0.1377782688567593,53.9654983368897
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.0850137304638148,0.36225077374696457,0.24882679400538465,0.11342397974157992,50.866088300828494
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.09396254419684794,0.3297146235446169,0.23865243718688006,0.09106218635773683,47.39311010591622
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.10291135792988108,0.3057607483308152,0.22249076490588876,0.08326998342492642,48.6771885420637
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.11186017166291422,0.2734823364956995,0.20977342787441916,0.06370890862128031,44.237080162043604
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.12080898539594737,0.25574306612995273,0.19243457153637514,0.0633084945935776,47.56420565148835
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.1297577991289805,0.23413264108431736,0.18269258900575772,0.051440052078559645,44.09855979529233
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.13870661286201363,0.21231630910857993,0.17415473268211212,0.03816157642646781,37.45270930379403
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.14765542659504677,0.19212008253216944,0.16459980024791776,0.027520282284251685,30.55016695880577
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.1566042403280799,0.17276372519993718,0.15123687417564602,0.021526851024291166,27.26540248416867
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.16555305406111304,0.15519099410135145,0.14010295075780224,0.015088043343549212,22.21378555147278
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.17450186779414617,0.13865055067119897,0.12982099226780952,0.008829558403389448,14.883916845788336
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.1834506815271793,0.12672729566596747,0.12349312907638199,0.0032341665895854743,6.084407366868705
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.19239949526021247,0.11304567908067305,0.11353867473143191,-0.0004929956507588595,-1.0671212139445485
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.2013483089932456,0.1014888115524081,0.10585724097074925,-0.0043684294183411465,-10.707341646320385
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.21029712272627873,0.09008341044901642,0.09774748512240175,-0.0076640746733853266,-21.638595871462215
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.21924593645931187,0.08037856856263406,0.08926515949328824,-0.008886590930654178,-29.070995377222488
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.228194750192345,0.07092275423384681,0.08386756474397845,-0.012944810510131646,-48.111563034583156
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.23714356392537814,0.0645989980515969,0.08012388961752559,-0.015524891565928692,-64.95162201601732
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,0.2460923776584113,0.05698950379948295,0.07474343026390612,-0.01775392646442317,-86.53451623875314
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.04026966179864912,0.5463230342042937,0.4899039857094235,0.05641904849487023,11.509954090639175
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.04921847553168225,0.49794452437749165,0.45307271916586433,0.044871805211627314,11.062061462042712
