galaxy,ring,variant,k,Pk,Pk_error,Pk_count,E_median,E_mad,N_windowed
NGC 1380,inner,raw,0.586048181943348,0.00022557524648646318,1.7715130217905187e-06,16966,0.0010647306488173257,1.3947216847749591e-05,0.07959950959863697
NGC 1380,inner,raw,0.5949954824310326,0.0002175446971826987,1.767979895365311e-06,15522,0.000751292273719702,1.4520624596318014e-05,0.07603286396404194
NGC 1380,inner,raw,0.6039427829187174,0.00022168708337097135,1.8325520760989077e-06,14026,0.0005383449239698959,1.5325125307022835e-05,0.07479456709559562
NGC 1380,inner,raw,0.612890083406402,0.0002153149792831539,1.8966136344964633e-06,12706,0.0003970716538004919,1.0432845726503546e-05,0.07175641497614457
NGC 1380,inner,raw,0.6218373838940867,0.0002083258824413016,1.9907243959392566e-06,11278,0.00030810845556468756,8.176197610679535e-06,0.07071941228342532
NGC 1380,inner,raw,0.6307846843817715,0.00021703724975005937,2.145004774422397e-06,10078,0.0002524990814303458,4.301760531966509e-06,0.06943498393136066
NGC 1380,inner,raw,0.6397319848694563,0.00021585502908001388,2.2856966812057453e-06,8766,0.00022097403697350854,2.9727089971155737e-06,0.07089333106164354
NGC 1380,inner,raw,0.6486792853571408,0.000205774280348103,2.2923289178991448e-06,7526,0.00020265714430392785,3.197432399954872e-06,0.06716805809018728
NGC 1380,inner,raw,0.6576265858448256,0.00020369559488181505,2.557474222727993e-06,6332,0.00019491199441565326,1.7946311619994356e-06,0.06589860526702823
NGC 1380,inner,raw,0.6665738863325104,0.00020045683681270887,2.7447232558892515e-06,5106,0.00019141697967269773,2.7607009160633966e-06,0.0693031111731882
NGC 1380,inner,raw,0.6755211868201949,0.0001966967019767239,3.0200743996981467e-06,3996,0.0001891396433563655,3.7907019357457082e-06,0.06546594011744353
NGC 1380,inner,raw,0.6844684873078797,0.0002085496457830107,3.851855318592221e-06,2778,0.00018699295293528873,1.9777093451049546e-06,0.06055386237466695
NGC 1380,inner,raw,0.6934157877955645,0.00020975106755031955,5.011654974184216e-06,1734,0.0001859689229288293,4.193094615470923e-06,0.06239706286447422
NGC 1380,inner,raw,0.702363088283249,0.00017147130748828993,6.501777464580758e-06,576,0.00018882123501665974,4.384909637271044e-06,0.06384012164012325
NGC 1380,inner,winsor_3.0,0.004473650243842351,4.7917025860065685,0.7641381819124899,433,0.9222181259301659,0.008345614956539078,17.434711865100187
NGC 1380,inner,winsor_3.0,0.013420950731527052,0.8301757461302505,0.02489714858190409,1296,0.8384556173674605,0.0027725839571039962,8.4902442384271
NGC 1380,inner,winsor_3.0,0.02236825121921175,0.6848545528251029,0.014230495655458301,2148,0.7558986676118079,0.0016391256968593722,4.252685381328652
NGC 1380,inner,winsor_3.0,0.031315551706896455,0.5600637970100092,0.009933094922716046,3000,0.6928921800694946,0.005763675486481446,3.262787637196171
