galaxy,ring,variant,noise_model,psf_id,n_fit,effective_kmin,kmax,P0,noise_coefficient,noise_coefficient_nonnegative,physical_solution,Pr,P_fluctuation,mbar_observed,mbar_sigma_formal,P0_sigma_formal,cov_P0_P0,cov_P0_Pnoise,cov_Pnoise_P0,cov_Pnoise_Pnoise,chi2,chi2_reduced,aicc,condition_number,template_correlation,covariance_correlation
NGC 1380,outer,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,24,0.04,0.25,0.885986056500983,-0.07314571592376189,False,True,0.0011913501973191,0.884794706303664,28.132468226669406,0.01841931280522901,0.015010377651953209,0.00022531143725425633,-4.1514310772140365e-05,-4.1514310772140365e-05,8.381293065864863e-06,1608.1489515445478,73.09767961566126,1612.7203801159765,18.13985695537789,,-0.9553240249831986
NGC 1380,outer,raw,N(k),stpsf_R2023111002-NRCA3_FP1-1,24,0.04,0.25,0.5038154334124889,0.005846673331790848,True,True,0.0011913501973191,0.5026240832151698,28.746466280768356,1.3091322775775571,0.6060416958937006,0.36728653716171267,-0.10792885728335719,-0.10792885728335712,0.03176649168657959,48268.54062843346,2194.024574019703,48273.11205700489,92.10598254400895,0.9826735174836987,-0.9991954488755308
NGC 1380,outer,raw,constant,stpsf_field_1280_1024,24,0.04,0.25,0.8849138547105257,-0.0726081520364272,False,True,0.0011913501973191,0.8837225045132067,28.133784728921366,0.018486766641347345,0.015047091222570152,0.00022641495426034772,-4.163064244585718e-05,-4.1630642445857167e-05,8.392067892150842e-06,1619.8691673611706,73.63041669823502,1624.4405959325993,18.115840008054047,,-0.9550499029383492
NGC 1380,outer,raw,N(k),stpsf_field_1280_1024,24,0.04,0.25,0.5661858491951239,-0.012181016238404101,False,False,0.0011913501973191,0.5649944989978049,28.619463967210216,1.1581334958663247,0.602668540849974,0.36320937013023685,-0.10653821774521151,-0.10653821774521154,0.03130094000505089,47864.593218587994,2175.663328117636,47869.16464715942,91.95265974792646,0.9825726157736523,-0.9991903136100184
NGC 1380,outer,raw,constant,stpsf_field_768_1024,24,0.04,0.25,0.8831035401691071,-0.07302897950257914,False,True,0.0011913501973191,0.881912189971788,28.136011151787333,0.018571172966195797,0.015084827925224413,0.00022755203353363028,-4.203392090751637e-05,-4.203392090751636e-05,8.508794884215197e-06,1634.5912965136793,74.29960438698542,1639.162725085108,18.084827297273215,,-0.9552686272485796
NGC 1380,outer,raw,N(k),stpsf_field_768_1024,24,0.04,0.25,0.512535876120637,0.0028920614303912418,True,True,0.0011913501973191,0.5113445259233179,28.72779048798393,1.281345684820501,0.60346988419198,0.36417590112668174,-0.10729336227628473,-0.10729336227628469,0.03166175560959372,48204.299073716145,2191.104503350734,48208.87050228757,91.8142541551244,0.9823301419890139,-0.9991938611410077
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,24,0.04,0.25,0.8869687917541502,-0.07116054889898984,False,True,0.0011913501973191,0.8857774415568311,28.131262976315824,0.017280195826901466,0.014097722432092641,0.00019874577777232808,-3.613411230872e-05,-3.613411230872004e-05,7.214453953867476e-06,1416.4616123253672,64.38461874206214,1421.033040896796,18.137401448837554,,-0.9542599600146003
NGC 1380,outer,raw,N(k),stpsf_field_1024_1280,24,0.04,0.25,0.7728048865777776,-0.07043467048615941,False,False,0.0011913501973191,0.7716135363804585,28.281074921051435,0.8400355840968424,0.5969984466666882,0.35640714532243856,-0.10345788911943214,-0.10345788911943213,0.030080732823234372,46261.21218505851,2102.782372048114,46265.78361362994,92.50099948536757,0.9827995164186428,-0.9991856906012111
NGC 1380,outer,raw,constant,stpsf_field_1024_768,24,0.04,0.25,0.8819902838450968,-0.07367988440813221,False,True,0.0011913501973191,0.8807989336477777,28.137382565220495,0.018950099187503625,0.015373188334077092,0.000236334919555004,-4.388583279553374e-05,-4.388583279553372e-05,8.923976698931062e-06,1701.5230558800426,77.34195708545649,1706.0944844514713,18.070710316487958,,-0.9556110932320813
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,24,0.04,0.25,0.42085644935372973,0.029297105530295034,True,True,0.0011913501973191,0.41966509915641065,28.94231738257273,1.548496172909564,0.598533784817632,0.35824269156811933,-0.10606074892812245,-0.10606074892812246,0.03145171464474975,48690.57985718841,2213.2081753267457,48695.151285759835,90.67826912533917,0.9825720360826362,-0.9991802854472625
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,24,0.04,0.25,0.8685386858268365,-0.07216883932106771,False,True,0.0011913501973191,0.8673473356295174,28.154091893835727,0.01852877037010678,0.014801827131281293,0.00021909408642433497,-4.033260348156947e-05,-4.033260348156945e-05,8.132222508814524e-06,1636.5927558448502,74.39057981112956,1641.1641844162789,18.196125458205177,,-0.9555123449894848
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,24,0.04,0.25,0.49998653341899973,0.0031266160826092884,True,True,0.0011913501973191,0.49879518322168065,28.754768888366755,1.303711644759369,0.598934700589498,0.3587227755702317,-0.10540937020159045,-0.10540937020159045,0.031023792193166165,49279.87771145499,2239.994441429772,49284.449140026416,92.35365291197098,0.9826735174836987,-0.9991997151483146
NGC 1380,outer,winsor_3.0,constant,stpsf_field_1280_1024,24,0.04,0.25,0.8674916993357767,-0.07164273904808938,False,True,0.0011913501973191,0.8663003491384577,28.15540329209435,0.01858871228958202,0.014831786833604406,0.00021998190067748098,-4.04115041076532e-05,-4.0411504107653166e-05,8.135770914454156e-06,1647.12567844749,74.86934902034045,1651.6971070189186,18.17207712640958,,-0.9552393059444038
