region,expectation_method,k,E_median,E_psf_mad
circular_inner_lit,model_aware,0.2818399653620681,0.11675423492137836,0.000834843042033661
circular_inner_lit,model_aware,0.2907872658497528,0.11153400954618024,0.0010331745940913924
circular_inner_lit,model_aware,0.2997345663374375,0.10649714163078092,0.000402187160509974
circular_inner_lit,model_aware,0.3086818668251222,0.10127317378075466,0.0006126464717451304
circular_inner_lit,model_aware,0.3176291673128069,0.09610013273464443,0.000773567112265474
circular_inner_lit,model_aware,0.32657646780049165,0.09136260402480481,0.00027170075200348427
circular_inner_lit,model_aware,0.3355237682881763,0.08585570887484263,0.0005160671227336006
circular_inner_lit,model_aware,0.344471068775861,0.08067470641252537,0.00038394196079009234
circular_inner_lit,model_aware,0.35341836926354575,0.0751229486074725,0.0002756166318531531
circular_inner_lit,model_aware,0.3623656697512304,0.06936351347319894,0.0006909925693681111
circular_inner_lit,model_aware,0.3713129702389151,0.06404334223548673,0.00019320149679805557
circular_inner_lit,model_aware,0.38026027072659985,0.05892332165650292,0.000617735189810907
circular_inner_lit,model_aware,0.3892075712142845,0.053759422913721315,0.0005718026849426159
circular_inner_lit,model_aware,0.3981548717019692,0.048799117705985454,0.00018119586432203006
circular_inner_lit,model_aware,0.40710217218965394,0.04411965482986037,0.00028774266602657207
circular_inner_lit,model_aware,0.4160494726773386,0.03985382698186918,0.00038489642257545485
circular_inner_lit,model_aware,0.4249967731650233,0.03582482173095832,0.00043690368670875175
circular_inner_lit,model_aware,0.43394407365270804,0.03233308846962226,0.0002538456866211494
circular_inner_lit,model_aware,0.4428913741403927,0.0292313555687619,0.00037498699639151384
circular_inner_lit,model_aware,0.4518386746280775,0.026387835754384782,0.00020467918953001965
circular_inner_lit,model_aware,0.46078597511576214,0.02391716685828535,0.00013912235283883626
circular_inner_lit,model_aware,0.4697332756034468,0.021748388430618125,0.00022810522391916374
circular_inner_lit,model_aware,0.47868057609113157,0.019918024799005445,0.0002107947828378347
circular_inner_lit,model_aware,0.48762787657881623,0.018469444005216797,0.0001675100390800004
circular_inner_lit,model_aware,0.49657517706650095,0.017024157775238254,0.000221338785382699
circular_inner_lit,model_aware,0.5055224775541856,0.012767768764803598,0.00015624924911674548
circular_inner_lit,model_aware,0.5144697780418703,0.009696423449881421,9.887515083295679e-05
circular_inner_lit,model_aware,0.5234170785295551,0.007581436393905392,4.5966510602425765e-05
circular_inner_lit,model_aware,0.5323643790172398,0.005910488550507679,6.494855293815859e-05
circular_inner_lit,model_aware,0.5413116795049244,0.004601363845122003,3.4466900025832527e-05
circular_inner_lit,model_aware,0.5502589799926092,0.0035440462100827935,4.285812660715689e-05
circular_inner_lit,model_aware,0.5592062804802939,0.0027069386690925065,2.664216909673801e-05
circular_inner_lit,model_aware,0.5681535809679785,0.002042394816916076,2.7664705454789133e-05
circular_inner_lit,model_aware,0.5771008814556633,0.0014777778720456202,2.8464222522969873e-05
circular_inner_lit,model_aware,0.586048181943348,0.0010628028732443857,1.9140039011364993e-05
circular_inner_lit,model_aware,0.5949954824310326,0.0007527552472540514,1.3899272003864138e-05
circular_inner_lit,model_aware,0.6039427829187174,0.0005414515157764391,1.3049837006782069e-05
circular_inner_lit,model_aware,0.612890083406402,0.000398822367378743,1.054098521765858e-05
circular_inner_lit,model_aware,0.6218373838940867,0.00030760054777216004,4.75953983125579e-06
circular_inner_lit,model_aware,0.6307846843817715,0.000252251059695977,5.0370420302410745e-06
circular_inner_lit,model_aware,0.6397319848694563,0.00022033389122253115,2.465286541294557e-06
circular_inner_lit,model_aware,0.6486792853571408,0.00020251402180025845,2.3623115327706028e-06
circular_inner_lit,model_aware,0.6576265858448256,0.00019470682872413042,1.7791769865901554e-06
circular_inner_lit,model_aware,0.6665738863325104,0.00019008893358723523,2.0529229751067387e-06
circular_inner_lit,model_aware,0.6755211868201949,0.0001885213260512181,6.238735956657233e-07
circular_inner_lit,model_aware,0.6844684873078797,0.00018712054982491995,5.150062012741942e-07
circular_inner_lit,model_aware,0.6934157877955645,0.00018806661762489074,4.02277511662737e-06
circular_inner_lit,model_aware,0.702363088283249,0.00018677644487005785,4.05108911666904e-06
circular_outer_lit,window_only,0.004474406866516569,0.9142751200655085,0.0008850684678590781
circular_outer_lit,window_only,0.013423220599549706,0.8188529708269193,0.0016503959439974482
circular_outer_lit,window_only,0.022372034332582842,0.7444104027416861,0.0036039945565433267
circular_outer_lit,window_only,0.03132084806561598,0.6849795415880026,0.0011735837565907822
circular_outer_lit,window_only,0.04026966179864912,0.6366925407930922,0.0015874310485144336
circular_outer_lit,window_only,0.04921847553168225,0.5953254470845218,0.002826293801416079
circular_outer_lit,window_only,0.0581672892647154,0.5612195716559243,0.0006919311401059036
circular_outer_lit,window_only,0.06711610299774853,0.5311219888904871,0.0009874732427054525
circular_outer_lit,window_only,0.07606491673078167,0.5020855012863796,0.002190561678023592
