galaxy,tile,y0,x0,size,valid_fraction,median_wht,wht_ratio_to_outer_ring,wht_relative_mad,median_ERR,standardized_sigma,plane_0,plane_x,plane_y,accepted,selected,selection_mode
NGC 3379,y1120_x1120,1120,1120,512,0.7595634460449219,862.8551635742188,0.9767841175958886,0.0028204704542025443,0.030384592711925507,0.934182546564725,0.42054582696830906,4.8154729990735754e-05,5.666748339504436e-05,False,False,nominal_0.80
NGC 3379,y1120_x1632,1120,1632,512,0.6087837219238281,861.5401611328125,0.9752954859534183,0.0029908336765736665,0.0300512183457613,0.8837790475483844,0.44742573853851403,3.72394531381439e-05,-4.044833780341837e-06,False,False,nominal_0.80
NGC 3379,y1120_x2144,1120,2144,512,0.520751953125,859.5692138671875,0.9730643003883847,0.0027080287040244172,0.02955402061343193,0.9894461999020712,0.4634608781495159,-1.9609742269814615e-05,6.235603564932278e-05,False,False,nominal_0.80
NGC 3379,y1120_x2656,1120,2656,512,0.5981292724609375,857.4288024902344,0.9706412751503263,0.002903120109329982,0.02980396244674921,1.0155695159764426,0.485750551985167,2.4754605375544626e-05,-3.5687305803826118e-06,False,False,nominal_0.80
NGC 3379,y1120_x3168,1120,3168,512,0.5498466491699219,854.4093627929688,0.967223157180086,0.0029378448611054654,0.03012879379093647,1.0402788021100418,0.4939186126524333,4.090722507794975e-05,9.00042053067114e-06,False,False,nominal_0.80
NGC 3379,y1120_x3680,1120,3680,512,0.4668846130371094,850.908935546875,0.9632605434262075,0.002855707907129411,0.03170214965939522,1.157989311151332,0.5245622083935033,7.723924228420485e-05,8.056412967710765e-06,False,False,nominal_0.80
NGC 3379,y1120_x4192,1120,4192,512,0.07131576538085938,847.20068359375,0.9590626643791004,0.005073436458073377,0.032777730375528336,1.1477437302203113,0.5468128034064809,0.0003210418292347325,4.612131531732005e-05,False,False,nominal_0.80
NGC 3379,y1120_x5216,1120,5216,512,0.0371246337890625,848.0697021484375,0.9600464256845305,0.0052609414877852635,0.03396272659301758,1.5523583600861433,0.6448060119809353,0.00022369357819433246,0.00011076972305225774,False,False,nominal_0.80
NGC 3379,y1120_x5728,1120,5728,512,0.07094573974609375,850.6346740722656,0.9629500692426178,0.002462489846574161,0.034122586250305176,1.7260079116566718,0.6849668217261707,0.000463482363071256,0.0002922316143887005,False,False,nominal_0.80
NGC 3379,y1120_x6240,1120,6240,512,0.02111053466796875,853.51708984375,0.9662130710356779,0.0023068576040773383,0.03779683820903301,2.028542069128905,0.8480151959966975,0.0005940716739039174,0.00048412965087913127,False,False,nominal_0.80
NGC 3379,y1120_x6752,1120,6752,512,0.00470733642578125,855.5419921875,0.9685053357546658,0.001805071740433182,0.04151709005236626,2.156333905949552,1.0449727119107648,0.000730567141696085,0.0008456934408665773,False,False,nominal_0.80
