run_id,job_id,target,sample_count,max_process_rss_bytes,max_children_rss_bytes,max_swap_used_bytes,min_ram_available_bytes,min_disk_free_bytes,first_sample_at,last_sample_at
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-166c0b57f2ab6f45b17055f44e8f86d510546337a0ff0a804c075f8635159b46,NGC 4528,143,9568616448,1955790848,16520773632,6228000768,152156299264,1784684288.3948228,1784688519.799201
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-279beec6c80486afadadc749b5b409fa6e4d460eaabd0c2422fd7b5a300b90c5,NGC 4531,137,10931552256,2085683200,16442261504,7582433280,149068795904,1784688550.465313,1784692601.7990882
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-cea29b2dba217dcd19cdd54daa9dbd7ae6393149561c4b1ffe569509d15541f8,NGC 4548,7,5973049344,2166669312,16202530816,11656118272,148922609664,1784692632.4607072,1784692782.516475
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-9b4747c6a831180c14acbdceea4ef6d2918fc331958ee26175b3d8e1e9474fb2,NGC 4550,136,10087464960,2131132416,16202530816,8164671488,145305935872,1784692812.705434,1784696834.048057
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-5dc8cc66a00806024dfd73a00d64c9009b021fe69d06c9a79bc86beb165c034c,NGC 4551,14,5905203200,2106408960,16185753600,11492835328,144737525760,1784696864.702475,1784697224.819138
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-c3936a8f04f79774ec2e484e9fe9da40aa0d05224b1170951c22ad2dc6a1af2b,NGC 4564,138,9771139072,1818345472,16185753600,7444037632,140858605568,1784697255.0136802,1784701336.2009568
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-d66d4edaa17a6dc943f9fc491f135727e9504f09c0aae35b16d54955ec540416,NGC 4569,9,5980520448,1962246144,16001204224,11477336064,140471439360,1784701366.879869,1784701576.9519732
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-dab7658513f0680e9a535a58ce3731737ea2d812d360ee80217abbd2f464d3f6,NGC 4571,133,9516007424,2548826112,16001204224,6599360512,138503188480,1784701607.111922,1784705538.0007198
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-0005d2eb60b26845667da9d18b15ee35a7e427b3c67e068a862a312d75f78367,NGC 4579,142,12192776192,1943486464,15657271296,7971733504,136001384448,1784705568.689097,1784709770.13747
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-f163ad637a720e54111d3abf28e995d84e5c2fd2ffdbd55e274cf03a9ae552fe,NGC 4606,148,9786245120,1986445312,15606939648,7390887936,135257534464,1784709800.824028,1784714181.621514
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-1ad0a1afd84749d1ac1d6051190856526ea027d4b92736a12f0aa8f8b413037c,NGC4486A,8,7325384704,1489387520,17284202496,13097893888,164498833408,1784674143.6654909,1784674323.728022
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-f51f97e72b9bb8c3f92bc5db867dddc43bf64ae532e6a2c0264ab53ea20803a4,NGC4486B,120,12033671168,1573240832,17284202496,6758400000,162131554304,1784674353.9090948,1784677895.3789709
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-ad9002a8b2e8a20881502e8e0f357b624d326299857f987805e448944e6f9919,PGC 040707,126,10949967872,15368192,19207946240,6814842880,127261401088,1784714212.290617,1784717933.13061
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-f477a084aa0b6b1b36f0bca447d2343cccd0f1a163302ebf5d75a7b2cd45cffd,PGC 040723,113,11202347008,14647296,20940062720,6163513344,130225008640,1784717963.847287,1784721294.481513
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-1ce02ea43385f4ba69f367510b242ed129174a3f99d8b3dd74402c51d4761a08,PGC 041156,123,9694035968,1744945152,26348290048,5890211840,140050350080,1784721325.510952,1784724956.224212
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-a06b3a19bc1eb2a8ed9a2dda1cd92805e48136b9ee46021cfa33592c3a5511be,PGC 041723,129,9106341888,1475280896,21283799040,6114213888,148443656192,1784724986.943973,1784728797.851019
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-eacd519237e0032aafb5b8b3ff5679acc5b13c2adec1be49b6c98762deabe27e,PGC 041782,112,9092841472,1457356800,23963893760,6121816064,190852567040,1784728828.560501,1784732129.6663759
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-347ca51d8e73ae45be4acb4b813f44f3af6dfc7259c4fe135a783975e5cb582b,PGC 041959,121,11250073600,234831872,24110759936,6855573504,189394718720,1784732160.329174,1784735731.510187
