run_id,job_id,program,obsid,target,state,queue_position,attempt_count,started_at,ended_at,last_error
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-9643ca2935bde8391ab5583cdc2bca07044b60d7381afc9d62143784cec7af60,7763,o008_t008,NGC 4435,RETRY_WAIT,38,1,1784620491.9561348,,worker exited 1; required artifacts are absent or invalid
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-bacbaa20eea2650dea6c5bdbf1f22324de149948b30813b8a72b14b07f97fb7c,7763,o045_t045,NGC 4436,SUCCEEDED,39,1,1784620972.290088,1784625323.80496,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-0dfeb66040f0d460b5c84fbf046b5a57cd38cc044ccce21eae9e068c11bd1e0d,7763,o006_t006,NGC 4438,SUCCEEDED,40,1,1784625323.9807072,1784629795.842732,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-588bb373439fc4f23239c70b39233861fe2c128701254f907d190e3acc370831,7763,o012_t012,NGC 4442,SUCCEEDED,41,1,1784629796.028755,1784634178.080995,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-c5670970b0bc34c6653cf94dabd24e519580586dd7fb33fb899440ba763358f6,7763,o033_t033,NGC 4452,RETRY_WAIT,42,1,1784634178.2662258,,worker exited 1; required artifacts are absent or invalid
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-c70019e8109897e40b8b8cbdefa5bfde4d5441138ad31453d77982d213b1bbb9,7763,o021_t021,NGC 4458,SUCCEEDED,43,1,1784634538.525027,1784638830.001167,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-9cf66bc6a052bb17545d1fdd1af66c101b15d2232cc8d85c3ebc880d01c242b0,7763,o009_t009,NGC 4459,SUCCEEDED,44,1,1784638830.213912,1784643601.452801,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-2da10bbe0bc611fc820bc269f2e66e1eeda3eca4dc434c4248fa1a1e1a145131,7763,o014_t014,NGC 4461,SUCCEEDED,45,1,1784643920.970366,1784649142.1620312,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-a7cece59c6f8e83b6e5619b2b9db3447418404754e3f789e61bce3efb09205ee,7763,o004_t004,NGC 4473,SUCCEEDED,46,1,1784649142.3809438,1784653464.21588,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-cfc6d4203c1c9b97ee6a450e71b39fed1db204d7ff87d7fd337b4734b074ec81,7763,o020_t020,NGC 4474,SUCCEEDED,47,1,1784653464.397351,1784657664.828095,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-34a3c32eb7981a962cbea5611fc8d93434308ccbc8b771854f3995ec5b8f2db1,7763,o024_t024,NGC 4476,SUCCEEDED,48,1,1784657665.016932,1784661688.091084,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-c62fcb3cefe0b5f1e86cdc967352db9f554a0c483999977116a7a75e6b5b9937,7763,o007_t007,NGC 4477,SUCCEEDED,49,1,1784661688.2744079,1784665619.705206,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-c3bc4f46350545868f5c8eda68e560cda76db56b00f27925a2d00dcb8546f00d,7763,o017_t017,NGC 4478,SUCCEEDED,50,1,1784665619.890342,1784669761.471178,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-0f71e30869646f89b188dd2b9812a22c24a5352994e2f90c82acba8e3da79a43,7763,o037_t037,NGC 4479,RETRY_WAIT,51,1,1784669761.650553,,worker exited 1; required artifacts are absent or invalid
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-88bf47d29c54d349bd532b1fe6f83f185712e0294ca5b319f5dae199bdfa01ce,7763,o041_t041,NGC 4482,SUCCEEDED,52,1,1784670241.958903,1784674143.495836,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-1ad0a1afd84749d1ac1d6051190856526ea027d4b92736a12f0aa8f8b413037c,7763,o034_t034,NGC4486A,RETRY_WAIT,53,1,1784674143.667479,,worker exited 1; required artifacts are absent or invalid
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-f51f97e72b9bb8c3f92bc5db867dddc43bf64ae532e6a2c0264ab53ea20803a4,7763,o044_t044,NGC4486B,SUCCEEDED,54,1,1784674353.911339,1784677925.849271,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-ccafc268a0d778d7195e3a428b82ba636d0002ae74001e11c4eda971bda497ce,7763,o035_t035,NGC 4497,RETRY_WAIT,55,1,1784677926.034913,,worker exited 1; required artifacts are absent or invalid
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-f36bed0b060c7e65950e83ba29744472e1f12fa07f98ecf86dadbf70dc2ee2a0,7763,o015_t015,NGC 4503,RETRY_WAIT,56,1,1784680596.7369442,,worker exited 1; required artifacts are absent or invalid
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-6557013d24f18a6762387d272470f8ce8f02c5601bbf2b14b02885f1e2bed6ca,7763,o040_t040,NGC 4506,SUCCEEDED,57,1,1784680806.97615,1784684288.217222,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-166c0b57f2ab6f45b17055f44e8f86d510546337a0ff0a804c075f8635159b46,7763,o028_t028,NGC 4528,SUCCEEDED,58,1,1784684288.3973482,1784688550.2761931,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-279beec6c80486afadadc749b5b409fa6e4d460eaabd0c2422fd7b5a300b90c5,7763,o018_t018,NGC 4531,SUCCEEDED,59,1,1784688550.468256,1784692632.272539,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-cea29b2dba217dcd19cdd54daa9dbd7ae6393149561c4b1ffe569509d15541f8,7763,o003_t003,NGC 4548,RETRY_WAIT,60,1,1784692632.4633758,,worker exited 1; required artifacts are absent or invalid
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-9b4747c6a831180c14acbdceea4ef6d2918fc331958ee26175b3d8e1e9474fb2,7763,o026_t026,NGC 4550,SUCCEEDED,61,1,1784692812.708096,1784696864.5145862,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-5dc8cc66a00806024dfd73a00d64c9009b021fe69d06c9a79bc86beb165c034c,7763,o029_t029,NGC 4551,RETRY_WAIT,62,1,1784696864.7046442,,worker exited 1; required artifacts are absent or invalid
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-c3936a8f04f79774ec2e484e9fe9da40aa0d05224b1170951c22ad2dc6a1af2b,7763,o016_t016,NGC 4564,SUCCEEDED,63,1,1784697255.01584,1784701366.670161,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-d66d4edaa17a6dc943f9fc491f135727e9504f09c0aae35b16d54955ec540416,7763,o002_t002,NGC 4569,RETRY_WAIT,64,1,1784701366.883051,,worker exited 1; required artifacts are absent or invalid
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-dab7658513f0680e9a535a58ce3731737ea2d812d360ee80217abbd2f464d3f6,7763,o010_t010,NGC 4571,SUCCEEDED,65,1,1784701607.114492,1784705568.467131,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-0005d2eb60b26845667da9d18b15ee35a7e427b3c67e068a862a312d75f78367,7763,o001_t001,NGC 4579,SUCCEEDED,66,1,1784705568.691881,1784709800.61504,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-f163ad637a720e54111d3abf28e995d84e5c2fd2ffdbd55e274cf03a9ae552fe,7763,o030_t030,NGC 4606,SUCCEEDED,67,1,1784709800.826924,1784714212.085719,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-ad9002a8b2e8a20881502e8e0f357b624d326299857f987805e448944e6f9919,7763,o071_t071,PGC 040707,SUCCEEDED,68,1,1784714212.2928598,1784717963.633163,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-f477a084aa0b6b1b36f0bca447d2343cccd0f1a163302ebf5d75a7b2cd45cffd,7763,o074_t074,PGC 040723,SUCCEEDED,69,1,1784717963.85007,1784721325.165866,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-1ce02ea43385f4ba69f367510b242ed129174a3f99d8b3dd74402c51d4761a08,7763,o063_t063,PGC 041156,SUCCEEDED,70,1,1784721325.5137799,1784724986.713901,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-a06b3a19bc1eb2a8ed9a2dda1cd92805e48136b9ee46021cfa33592c3a5511be,7763,o064_t064,PGC 041723,SUCCEEDED,71,1,1784724986.9465432,1784728828.334097,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-eacd519237e0032aafb5b8b3ff5679acc5b13c2adec1be49b6c98762deabe27e,7763,o073_t073,PGC 041782,SUCCEEDED,72,1,1784728828.562185,1784732160.1359732,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-347ca51d8e73ae45be4acb4b813f44f3af6dfc7259c4fe135a783975e5cb582b,7763,o066_t066,PGC 041959,SUCCEEDED,73,1,1784732160.330563,1784735761.9740832,
