galaxy,k,relative_power
NGC 3379,0.335,0.14586668729631672
NGC 3379,0.34500000000000003,0.13766308455999504
NGC 3379,0.35500000000000004,0.12920397765679317
NGC 3379,0.365,0.13307826513055507
NGC 3379,0.375,0.12635503096305992
NGC 3379,0.385,0.11470922655976805
NGC 3379,0.395,0.11135787981168876
NGC 3379,0.405,0.10847887231091582
NGC 3379,0.41500000000000004,0.10817470751522051
NGC 3379,0.42500000000000004,0.10624225962231554
NGC 3379,0.435,0.09973327172054956
NGC 3379,0.445,0.1019382701928817
NGC 4374,0.015,5.851422906882535
NGC 4374,0.025,3.701467815222746
NGC 4374,0.035,3.261858991650709
NGC 4374,0.045,2.7139415569904273
NGC 4374,0.05500000000000001,2.6881236014989907
NGC 4374,0.065,2.3470819779259955
NGC 4374,0.075,2.507833324451365
NGC 4374,0.08499999999999999,2.1726845844019005
NGC 4374,0.095,1.7089431684330194
NGC 4374,0.105,1.592877634619283
NGC 4374,0.11499999999999999,1.5120988199606544
NGC 4374,0.125,1.4277160074509423
NGC 4374,0.135,1.2005855888399737
NGC 4374,0.14500000000000002,1.0
NGC 4374,0.15500000000000003,0.8845947308019984
NGC 4374,0.165,0.8247373920277936
NGC 4374,0.17500000000000002,0.7017980289554772
NGC 4374,0.185,0.6729207543526045
NGC 4374,0.195,0.5297983847107035
NGC 4374,0.20500000000000002,0.4968566731269123
NGC 4374,0.21500000000000002,0.42400659537243723
NGC 4374,0.225,0.36383155485517166
NGC 4374,0.23500000000000001,0.34720056984665665
NGC 4374,0.245,0.2678310119454083
NGC 4374,0.255,0.25715685051784043
NGC 4374,0.265,0.2269440458090982
NGC 4374,0.275,0.20147015939345586
NGC 4374,0.28500000000000003,0.1867338692568912
NGC 4374,0.29500000000000004,0.1681113673628565
NGC 4374,0.305,0.14304016983983076
NGC 4374,0.315,0.1356210173785043
NGC 4374,0.325,0.11801814366757021
NGC 4374,0.335,0.09782358411873701
NGC 4374,0.34500000000000003,0.09302025131233965
NGC 4374,0.35500000000000004,0.07910605706100213
NGC 4374,0.365,0.07184705986362194
NGC 4374,0.375,0.0596792221397335
NGC 4374,0.385,0.053627382274988894
NGC 4374,0.395,0.04747987967667848
NGC 4374,0.405,0.04412279222950875
NGC 4374,0.41500000000000004,0.03896192139031406
NGC 4374,0.42500000000000004,0.036928778060690955
NGC 4374,0.435,0.03429328010880671
NGC 4374,0.445,0.03126353672645502
NGC 4406,0.015,3.225890206875031
NGC 4406,0.025,4.146965436155724
