model,n,n_parameters,color_center,intercept,slope,curvature,slope_change,sigma_int,log_likelihood,aic,aicc,use_color_errors,color_error_column,use_extinction_covariance,use_shared_anchor_covariance
constant,14,2,0.567460681637547,-3.1790032715357506,0.0,,,0.08281487020552471,13.974287284033675,-23.94857456806735,-22.85766547715826,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1798353055062742,0.0,,,0.09593999111782422,12.181819098517552,-20.363638197035105,-19.272729106126015,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1682335757279563,0.0,,,0.051172912091153516,19.52235104713978,-35.04470209427956,-33.953793003370464,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.216956654124185,0.0,,,0.08082356592572755,14.389569327217533,-24.779138654435066,-23.688229563525976,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.189591489967702,0.0,,,0.09307599892832434,12.591805131744955,-21.18361026348991,-20.09270117258082,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2239904042548853,0.0,,,0.03321251217050476,23.21898376400059,-42.43796752800118,-41.34705843709209,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.200467443849601,0.0,,,0.07385938838116625,15.49501894442856,-26.99003788885712,-25.89912879794803,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.182540994939652,0.0,,,0.08348673994055819,13.918172911150286,-23.836345822300572,-22.745436731391482,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.248585248460886,0.0,,,0.05862281397474011,18.198844892339597,-32.397689784679194,-31.306780693770104,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2309695345375733,0.0,,,0.07224701506213416,15.665993741387352,-27.331987482774704,-26.241078391865614,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2389796251694505,0.0,,,0.07670394824438584,15.052523755501806,-26.10504751100361,-25.014138420094522,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.228287836384623,0.0,,,0.05942351654504018,17.93451263927303,-31.86902527854606,-30.77811618763697,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.262956196770085,0.0,,,0.07157428956022686,15.789950838061706,-27.579901676123413,-26.488992585214323,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2227396888276414,0.0,,,0.0744784009059894,15.42150061582074,-26.84300123164148,-25.75209214073239,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.21175145258271,0.0,,,0.06541581436173023,16.909713424400557,-29.819426848801115,-28.728517757892025,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.246094565526607,0.0,,,0.0724330182323164,15.78274136011914,-27.56548272023828,-26.47457362932919,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1889305158197074,0.0,,,0.07555739132036775,15.180404987227028,-26.360809974454057,-25.269900883544967,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1740284098319425,0.0,,,0.04434195138105951,20.643929553089375,-37.28785910617875,-36.19695001526966,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.213882413870989,0.0,,,0.07495310362859382,15.340215771226204,-26.680431542452407,-25.589522451543317,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.192916127862954,0.0,,,0.0807550540263607,14.397398265737582,-24.794796531475164,-23.703887440566074,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2411597649608606,0.0,,,0.06288581616130258,17.301452811345623,-30.602905622691246,-29.511996531782156,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.169507370642821,0.0,,,0.07794258180955602,14.694916940221558,-25.389833880443117,-24.298924789534027,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1830528248858014,0.0,,,0.07546660884865948,15.259945161620184,-26.519890323240368,-25.428981232331278,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1982833537201953,0.0,,,0.06239497164153696,17.533825033839662,-31.067650067679324,-29.976740976770234,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2207190168877053,0.0,,,0.06391983305462821,17.2420877685754,-30.484175537150797,-29.393266446241707,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.210296423603241,0.0,,,0.07096678115739119,15.8723643165091,-27.7447286330182,-26.65381954210911,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1902967812661425,0.0,,,0.08321425341575858,13.945709930321646,-23.891419860643293,-22.800510769734203,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1711622576786453,0.0,,,0.057535570878486715,17.961758225516725,-31.92351645103345,-30.83260736012436,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.171084491078019,0.0,,,0.07303429292328861,15.538893966918618,-27.077787933837236,-25.986878842928146,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2125471718812593,0.0,,,0.042695168785582376,21.415596806735348,-38.831193613470695,-37.7402845225616,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2241313181687326,0.0,,,0.08360665080064297,13.962358424254159,-23.924716848508318,-22.833807757599228,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.214094500979525,0.0,,,0.05891797899628789,17.95405341698003,-31.908106833960062,-30.817197743050972,True,sigma_color_stat_mag,True,False
