slope,delta_fornax_mag
-1.1312932497303712,-0.09066582767137296
0.5499416729837723,-0.01905097596217689
-2.2352974758718465,-0.2962921745654685
-1.4045242588406182,-0.08808279387833215
0.06571731983966723,-0.12830348576253145
-3.5870841655445513,-0.16296357574940684
-1.3549079586572335,-0.2474745144162583
-1.431034218325323,-0.21721312166564233
-0.3553889688888777,-0.18791507911813865
-1.2793643183485832,-0.1405672543055925
-0.18186632792953245,-0.06105283917904703
-3.530881035317398,-0.15158204742022724
-2.1039258790902604,-0.3178328774014881
-1.229651092552979,-0.1492801366591827
-1.5045575592773965,-0.20313122996575692
-0.8114497233126816,-0.17012935396064888
-1.5446221981959716,-0.11824710867202774
-0.7934012985057508,-0.08292236651774872
-0.10119866746324589,-0.06806206080103805
-2.0952150138018126,-0.3232050661302602
-1.4247213822655538,-0.1481162167453675
-1.1537161544664933,-0.23780345977915254
-1.5807119381118453,-0.19595327871979806
-1.6739736689187708,-0.15511907193820915
-1.4803681396010162,-0.22178101423197974
0.20563449399405256,-0.02949635531433957
-0.8593090990089466,-0.24881187743835
-0.8187587391356427,-0.12646180497704712
-2.2539638875437866,-0.08385950628501819
-1.2035137626386552,-0.19013416898837995
-0.47648579572702804,-0.16870371551812943
-1.9186823805334818,-0.14965399691212267
-1.4272649138181555,-0.23894958538991296
-0.3796219555423522,-0.20286066507296435
-0.3582709440963126,-0.11031118484503515
-1.7698152590881397,-0.09268222304501986
-2.0371888132158733,-0.2427899928522227
-0.7072463359515646,-0.14012040104758083
-0.45098718673014565,-0.08076438377836838
-3.2256748870807836,-0.15019089178515418
-2.155694136561108,-0.1647983832456199
-1.0464712126089586,-0.15040632282931807
-0.9619621881759123,-0.10992727185366297
-1.7960645533209825,-0.2639854352402471
-1.2248505186862355,-0.058634574537011194
-0.383985581736246,-0.06410159055867591
-1.3422505732187169,-0.22780745218246204
0.06571731982735884,-0.12830348576328413
-2.252347471359292,-0.19621594517004068
-1.9871623883536995,-0.1895207014566047
-2.9687151576697226,-0.15218441735055238
-1.4550003862721632,-0.09241440413444099
