program,target,obsid,download_enabled,availability_status,science_role,priority,public_release_date,signal_filter,color_filter,signal_product,color_product,signal_product_uri,color_product_uri,signal_exposure_time_s,color_exposure_time_s,signal_content_length_bytes,color_content_length_bytes,morphology,redshift,external_distance_modulus,distance_method,hst_overlap,dust_flag,spiral_flag,resolved_flag,field_contamination_flag,calibration_family,notes
7763,NGC 4458,o021_t021,true,public,virgo_sbf_sample,2,2026-06-16,F150W,F115W,jw07763-o021_t021_nircam_clear-f150w_i2d.fits,jw07763-o021_t021_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o021_t021_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o021_t021_nircam_clear-f115w_i2d.fits,,,1216137600,1216137600,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4459,o009_t009,true,public,virgo_sbf_sample,2,2026-06-02,F150W,F115W,jw07763-o009_t009_nircam_clear-f150w_i2d.fits,jw07763-o009_t009_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o009_t009_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o009_t009_nircam_clear-f115w_i2d.fits,,,1216137600,1216258560,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4461,o014_t014,true,public,virgo_sbf_sample,2,2026-06-16,F150W,F115W,jw07763-o014_t014_nircam_clear-f150w_i2d.fits,jw07763-o014_t014_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o014_t014_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o014_t014_nircam_clear-f115w_i2d.fits,,,1216137600,1216258560,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4473,o004_t004,true,public,virgo_sbf_sample,2,2026-05-18,F150W,F115W,jw07763-o004_t004_nircam_clear-f150w_i2d.fits,jw07763-o004_t004_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o004_t004_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o004_t004_nircam_clear-f115w_i2d.fits,,,1216137600,1216140480,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4474,o020_t020,true,public,virgo_sbf_sample,2,2026-06-05,F150W,F115W,jw07763-o020_t020_nircam_clear-f150w_i2d.fits,jw07763-o020_t020_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o020_t020_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o020_t020_nircam_clear-f115w_i2d.fits,,,1216137600,1216137600,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4476,o024_t024,true,public,virgo_sbf_sample,2,2026-06-21,F150W,F115W,jw07763-o024_t024_nircam_clear-f150w_i2d.fits,jw07763-o024_t024_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o024_t024_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o024_t024_nircam_clear-f115w_i2d.fits,,,1216258560,1216137600,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4477,o007_t007,true,public,virgo_sbf_sample,2,2026-06-16,F150W,F115W,jw07763-o007_t007_nircam_clear-f150w_i2d.fits,jw07763-o007_t007_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o007_t007_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o007_t007_nircam_clear-f115w_i2d.fits,,,1216137600,1216137600,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4478,o017_t017,true,public,virgo_sbf_sample,2,2026-06-17,F150W,F115W,jw07763-o017_t017_nircam_clear-f150w_i2d.fits,jw07763-o017_t017_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o017_t017_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o017_t017_nircam_clear-f115w_i2d.fits,,,1216137600,1216261440,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4479,o037_t037,true,public,virgo_sbf_sample,2,2026-06-18,F150W,F115W,jw07763-o037_t037_nircam_clear-f150w_i2d.fits,jw07763-o037_t037_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o037_t037_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o037_t037_nircam_clear-f115w_i2d.fits,,,1216258560,1216258560,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4482,o041_t041,true,public,virgo_sbf_sample,2,2026-06-23,F150W,F115W,jw07763-o041_t041_nircam_clear-f150w_i2d.fits,jw07763-o041_t041_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o041_t041_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o041_t041_nircam_clear-f115w_i2d.fits,,,1215855360,1216258560,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
