model,n,n_parameters,color_center,intercept,slope,curvature,slope_change,sigma_int,log_likelihood,aic,aicc,use_color_errors,color_error_column,use_extinction_covariance
constant,14,2,0.5674536233634047,-3.1481019659167044,0.0,,,0.08343964591146398,13.935559816704167,-23.871119633408334,-22.780210542499244,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1346389958790017,0.0,,,0.05669762572454639,18.334629262157108,-32.669258524314216,-31.578349433405126,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1247205144832173,0.0,,,0.07774208615914978,14.876799246545303,-25.753598493090607,-24.662689402181517,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.182585356610252,0.0,,,0.04053760429967261,21.912631296793798,-39.825262593587595,-38.7343535026785,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1923679577377873,0.0,,,0.08327697382721248,14.00431588576776,-24.00863177153552,-22.91772268062643,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1743925806081252,0.0,,,0.06161115669456432,17.528262281758355,-31.05652456351671,-29.96561547260762,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.101426490532306,0.0,,,0.05415317223313327,18.69093492206593,-33.38186984413186,-32.29096075322277,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.130762606645825,0.0,,,0.07082382944925775,16.001203378411,-28.002406756821998,-26.911497665912908,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.173803430743403,0.0,,,0.09055036008171663,12.994527722309458,-21.989055444618916,-20.898146353709826,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1795775617794297,0.0,,,0.07316626514509438,15.562191995634398,-27.124383991268797,-26.033474900359707,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.157325671462497,0.0,,,0.0695161362097577,16.063337908206933,-28.126675816413865,-27.035766725504775,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.162657774313543,0.0,,,0.0878069447071649,13.367720632397932,-22.735441264795863,-21.644532173886773,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.185549983866892,0.0,,,0.0827134160498182,14.133234199579572,-24.266468399159145,-23.175559308250055,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.159921295237765,0.0,,,0.07567408582359968,15.281959631876154,-26.563919263752307,-25.473010172843217,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.13890644420392,0.0,,,0.07627792940477642,15.065883139195316,-26.131766278390632,-25.040857187481542,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.140494824290173,0.0,,,0.1019605492067025,11.451293749481787,-18.902587498963573,-17.811678408054483,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1741443347555025,0.0,,,0.08000300469609468,14.505235803214626,-25.010471606429252,-23.919562515520163,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1650516310412895,0.0,,,0.08013988948698107,14.536548912823044,-25.073097825646087,-23.982188734736997,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1881448255526466,0.0,,,0.07179138853471274,15.724878649137795,-27.44975729827559,-26.3588482073665,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.19247644115664,0.0,,,0.06889507563177182,16.170597460278923,-28.341194920557847,-27.250285829648757,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1958244337467803,0.0,,,0.0751059549036434,15.252029849764583,-26.504059699529165,-25.413150608620075,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.194627638385035,0.0,,,0.07962642987345572,14.597870017139948,-25.195740034279897,-24.104830943370807,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.163749840434532,0.0,,,0.0662800796636372,16.728437176189004,-29.45687435237801,-28.36596526146892,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1538364172546434,0.0,,,0.07502972304811581,15.213089096135763,-26.426178192271525,-25.335269101362435,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.2124574105798795,0.0,,,0.07255421387953594,15.598830393402178,-27.197660786804356,-26.106751695895266,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.2005864076613832,0.0,,,0.09108040505192667,12.952064880609889,-21.904129761219778,-20.813220670310688,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1588003711397383,0.0,,,0.07674004134790594,15.066260195208542,-26.132520390417085,-25.041611299507995,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.2014230663774055,0.0,,,0.07827385723512378,14.749267231491396,-25.498534462982793,-24.407625372073703,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1543652423725073,0.0,,,0.08851207510047103,13.22767329663132,-22.45534659326264,-21.36443750235355,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.177957227795632,0.0,,,0.07406853278308977,15.433748386972837,-26.867496773945675,-25.776587683036585,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.167271036448401,0.0,,,0.11629170442822999,9.76437670169399,-15.52875340338798,-14.43784431247889,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.13656604603529,0.0,,,0.06096255634725579,17.697873078665232,-31.395746157330464,-30.304837066421374,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.189266207365334,0.0,,,0.09021494023217486,13.03099190238096,-22.06198380476192,-20.97107471385283,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.131614177592561,0.0,,,0.06562899669399336,16.851004304001776,-29.702008608003553,-28.611099517094463,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.138763610580102,0.0,,,0.049259599112558235,19.765061083312794,-35.53012216662559,-34.439213075716495,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1591792749531438,0.0,,,0.08961848915884775,13.105242970448897,-22.210485940897794,-21.119576849988704,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.163717849961189,0.0,,,0.07112638163456306,15.915947325408936,-27.831894650817873,-26.740985559908783,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1603018715606304,0.0,,,0.09300894641597378,12.625160593627129,-21.250321187254258,-20.159412096345168,True,sigma_color_stat_mag,True
