target_name,proposal_id,target_classification,proposal_pi,obs_title,dataurls_F090W,dataurls_F150W,obsids_F090W,obsids_F150W
NGC-346-TILE-6,1227,Stellar Cluster; OB associations; Stellar associations; Young star clusters,"Meixner, Margaret",NGC 346: Star Formation at Low Metallicity in the Small Magellanic Cloud,mast:JWST/product/jw01227-o017_t018_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01227-o017_t018_nircam_clear-f150w_i2d.fits,jw01227-o017_t018_nircam_clear-f090w,jw01227-o017_t018_nircam_clear-f150w
NGC-4258,2875,Galaxy; Field galaxies,"Riess, Adam","Scrutinizing the Dirtiest Cepheids, a Test of the Hubble Tension",mast:JWST/product/jw02875-o010_t008_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw02875-o010_t008_nircam_clear-f150w_i2d.fits,jw02875-o010_t008_nircam_clear-f090w,jw02875-o010_t008_nircam_clear-f150w
NGC-4636,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o014_t014_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o014_t014_nircam_clear-f150w_i2d.fits,jw03055-o014_t014_nircam_clear-f090w,jw03055-o014_t014_nircam_clear-f150w
NGC-4697,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o011_t011_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o011_t011_nircam_clear-f150w_i2d.fits,jw03055-o011_t011_nircam_clear-f090w,jw03055-o011_t011_nircam_clear-f150w
NGC-5861,2875,Galaxy; Spiral galaxies,"Riess, Adam","Scrutinizing the Dirtiest Cepheids, a Test of the Hubble Tension",mast:JWST/product/jw02875-o014_t006_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw02875-o014_t006_nircam_clear-f150w_i2d.fits,jw02875-o014_t006_nircam_clear-f090w,jw02875-o014_t006_nircam_clear-f150w
NGC-7320,2732,Clusters of Galaxies; Interacting galaxies,"Pontoppidan, Klaus M.",JWST Early Release Observation 6,mast:JWST/product/jw02732-o001_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw02732-o001_t001_nircam_clear-f150w_i2d.fits,jw02732-o001_t001_nircam_clear-f090w,jw02732-o001_t001_nircam_clear-f150w
NGC104-6W,6631,Stellar Cluster; Globular star clusters,"Koekemoer, Anton M.",CAL-NRC-321: NIRCam Total-count and Count-rate Linearity Characterization,mast:JWST/product/jw06631-o001_t001_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw06631-o002_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw06631-o001_t001_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw06631-o002_t001_nircam_clear-f150w_i2d.fits,jw06631-o001_t001_nircam_clear-f090w;jw06631-o002_t001_nircam_clear-f090w,jw06631-o001_t001_nircam_clear-f150w;jw06631-o002_t001_nircam_clear-f150w
NGC2506G31OFFSET,1538,Stellar Cluster; Open star clusters,"Gordon, Karl D.",Absolute Flux Calibration (G Dwarfs),mast:JWST/product/jw01538-o046_t024_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01538-o046_t024_nircam_clear-f150w_i2d.fits,jw01538-o046_t024_nircam_clear-f090w,jw01538-o046_t024_nircam_clear-f150w
NGC6397_QuiescentLMXB,6980,Star; X-ray binary stars,"Guillot, Sebastien",Probing dense matter with XMM and JWST observations of a neutron star in binary,mast:JWST/product/jw06980-o001_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw06980-o001_t001_nircam_clear-f150w_i2d.fits,jw06980-o001_t001_nircam_clear-f090w,jw06980-o001_t001_nircam_clear-f150w
PEGASUS-DIRR,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,mast:JWST/product/jw04783-o005_t005_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw04783-o005_t005_nircam_clear-f150w_i2d.fits,jw04783-o005_t005_nircam_clear-f090w,jw04783-o005_t005_nircam_clear-f150w
